Truss Material Report

Company Name        Teck Guan Steel S/B      
Client Name         Zirbad Resources Sdn Bhd  
Job Number          2674    
Dwg Number          T-2674-Akademik 3-01 Truss.dwg
Current Date        19-01-2026


Material Summary by Truss

Truss  ID      Member           Qty    Length    
ST5    T1      MB10010            1      5634      
ST5    T2      MB10010            1      6565     
ST5    W1      MB7510             1       150      
ST5    W10     MB7510             1       150      
ST5    W2      MB7510             1       866      
ST5    W3      MB7510             1      1925      
ST5    W4      MB7510             1      1690      
ST5    W5      MB7510             1      2438      
ST5    W6      MB7510             1      2438      
ST5    W7      MB7510             1      1690      
ST5    W8      MB7510             1      1925      
ST5    W9      MB7510             1       866      

ST6    B1      MB10010            6      9750    
ST6    T1      MB10010            6      5379     
ST6    T2      MB10010            6      6565     
ST6    W1      MB7510             6       150      
ST6    W10     MB7510             6       150      
ST6    W2      MB7510             6       866      
ST6    W3      MB7510             6      1925     
ST6    W4      MB7510             6      1690     
ST6    W5      MB7510             6      2438     
ST6    W6      MB7510             6      2438     
ST6    W7      MB7510             6      1690     
ST6    W8      MB7510             6      1925     
ST6    W9      MB7510             6       866      

ST7    B1      MB10010            1      9750     
ST7    T1      MB10010            1      5595      
ST7    T2      MB10010            1      6565     
ST7    W1      MB7510             1       150      
ST7    W10     MB7510             1       150      
ST7    W2      MB7510             1       866      
ST7    W3      MB7510             1      1925      
ST7    W4      MB7510             1      1690      
ST7    W5      MB7510             1      2438      
ST7    W6      MB7510             1      2438      
ST7    W7      MB7510             1      1690      
ST7    W8      MB7510             1      1925      
ST7    W9      MB7510             1       866      

T1     B1      MB10010            2      6375     
T1     B1      UB10010            2       600      
T1     B3      MB10010            2      6375     
T1     H1      MB10010            2      5261     
T1     H1      UB10010            2       600      
T1     H3      MB10010            2      5261     
T1     T1      MB10010            2      2608      
T1     T2      MB10010            2      2608      
T1     W1      MB7510             2       150      
T1     W10     MB7510             2       574      
T1     W11     MB7510             2      1267      
T1     W12     MB7510             2       574      
T1     W13     MB7510             2      1267      
T1     W14     MB7510             2       574      
T1     W15     MB7510             2      1267      
T1     W16     MB7510             2       574      
T1     W17     MB7510             2      1267      
T1     W18     MB7510             2       566      
T1     W19     MB7510             2       150      
T1     W2      MB7510             2       566      
T1     W3      MB7510             2      1267      
T1     W4      MB7510             2       574      
T1     W5      MB7510             2      1267      
T1     W6      MB7510             2       574      
T1     W7      MB7510             2      1267      
T1     W8      MB7510             2       574      
T1     W9      MB7510             2      1267      

T2     B1      MB10010            2      6375     
T2     B1      UB10010            2       600      
T2     B3      MB10010            2      6375     
T2     H1      MB10010            2      8523     
T2     T1      MB10010            2      3711     
T2     T2      MB10010            2      3711     
T2     W1      MB7510             2       150      
T2     W10     MB7510             2      1040      
T2     W11     MB7510             2      1606      
T2     W12     MB7510             2      1040      
T2     W13     MB7510             2      1606      
T2     W14     MB7510             2      1040      
T2     W15     MB7510             2      1606      
T2     W16     MB7510             2      1032      
T2     W17     MB7510             2      1112      
T2     W18     MB7510             2       571      
T2     W19     MB7510             2       150      
T2     W2      MB7510             2       571      
T2     W3      MB7510             2      1112      
T2     W4      MB7510             2      1032      
T2     W5      MB7510             2      1606      
T2     W6      MB7510             2      1040      
T2     W7      MB7510             2      1606      
T2     W8      MB7510             2      1040      
T2     W9      MB7510             2      1606      

T3     B1      MB10010            2      6375     
T3     B1      UB10010            2       600      
T3     B3      MB10010            2      6375     
T3     H1      MB10010            2      6524     
T3     T1      MB10010            2      4813     
T3     T2      MB10010            2      4813     
T3     W1      MB7510             2       150      
T3     W10     MB7510             2      1506      
T3     W11     MB7510             2      1747      
T3     W12     MB7510             2      1506      
T3     W13     MB7510             2      1747      
T3     W14     MB7510             2      1506      
T3     W15     MB7510             2      1747      
T3     W16     MB7510             2      1498      
T3     W17     MB7510             2      1660      
T3     W18     MB7510             2       804      
T3     W19     MB7510             2       150      
T3     W2      MB7510             2       804      
T3     W3      MB7510             2      1660      
T3     W4      MB7510             2      1498      
T3     W5      MB7510             2      1747      
T3     W6      MB7510             2      1506      
T3     W7      MB7510             2      1747      
T3     W8      MB7510             2      1506      
T3     W9      MB7510             2      1747      

T4     B1      MB10010            2      6375     
T4     B1      UB10010            2       600      
T4     B3      MB10010            2      6375     
T4     H1      MB10010            2      4521     
T4     T1      MB10010            2      5918     
T4     T2      MB10010            2      5918     
T4     W1      MB7510             2       150      
T4     W10     MB7510             2      1973      
T4     W11     MB7510             2      2175      
T4     W12     MB7510             2      1973      
T4     W13     MB7510             2      2175      
T4     W14     MB7510             2      1965      
T4     W15     MB7510             2      1863      
T4     W16     MB7510             2      1363      
T4     W17     MB7510             2      1444      
T4     W18     MB7510             2       712      
T4     W19     MB7510             2       150      
T4     W2      MB7510             2       712      
T4     W3      MB7510             2      1444      
T4     W4      MB7510             2      1363      
T4     W5      MB7510             2      1863      
T4     W6      MB7510             2      1965      
T4     W7      MB7510             2      2175      
T4     W8      MB7510             2      1973      
T4     W9      MB7510             2      2175      

T5     B1      MB10010            2      6375     
T5     B1      UB10010            2       600      
T5     B3      MB10010            2      6375     
T5     H1      MB10010            2      2522      
T5     T1      MB10010            2      7021     
T5     T2      MB10010            2      7021     
T5     W1      MB7510             2       150      
T5     W10     MB7510             2      2431      
T5     W11     MB7510             2      2317      
T5     W12     MB7510             2      1673      
T5     W13     MB7510             2      1810      
T5     W14     MB7510             2       868      
T5     W15     MB7510             2       150      
T5     W2      MB7510             2       868      
T5     W3      MB7510             2      1810      
T5     W4      MB7510             2      1673      
T5     W5      MB7510             2      2317      
T5     W6      MB7510             2      2431      
T5     W7      MB10010            2      2640      
T5     W8      MB7510             2      2439      
T5     W9      MB10010            2      2640      

T6     B1      MB10010            4      3250     
T6     H1      MB10010            4      1021      
